phi,psi,energy
-180,-180,-0.120176685769100
-180,-160,-0.118642127174638
-180,-140,-0.116515078427088
-180,-120,-0.115397896575567
-180,-100,-0.115198471558285
-180,-80,-0.115326405616891
-180,-60,-0.114758533012790
-180,-40,-0.112587082213680
-180,-20,-0.108933221027187
-180,0,-0.104647962133166
-180,20,-0.107544399457235
-180,40,-0.111280381181660
-180,60,-0.115015899530105
-180,80,-0.118093380271071
-180,100,-0.120180664734957
-180,120,-0.121581039614240
-180,140,-0.122467260125993
-180,160,-0.122507784362574
-180,180,-0.121092075987393
-160,-180,-0.123386452481467
-160,-160,-0.120702134493508
-160,-140,-0.118165897719574
-160,-120,-0.116519706182163
-160,-100,-0.115983681945642
-160,-80,-0.116089892538693
-160,-60,-0.115670824703382
-160,-40,-0.113465554059963
-160,-20,-0.109770104475954
-160,0,-0.108552151044518
-160,20,-0.111568790062432
-160,40,-0.114848902742285
-160,60,-0.118202185717979
-160,80,-0.121062881633026
-160,100,-0.123181116326081
-160,120,-0.124440186543163
-160,140,-0.125113590786790
-160,160,-0.124941304429786
-160,180,-0.123387545753685
-140,-180,-0.123316776557664
-140,-160,-0.120269356389239
-140,-140,-0.117320928323139
-140,-120,-0.115410608557616
-140,-100,-0.114808857359629
-140,-80,-0.114977508981942
-140,-60,-0.114473274855402
-140,-40,-0.112047169943796
-140,-20,-0.108643823066654
-140,0,-0.110446641982276
-140,20,-0.113259551942747
-140,40,-0.116368741153128
-140,60,-0.119736604757701
-140,80,-0.122742434135720
-140,100,-0.124586423315087
-140,120,-0.125534177981810
-140,140,-0.125831941235713
-140,160,-0.125262267398713
-140,180,-0.123317323356179
-120,-180,-0.121593817593588
-120,-160,-0.117936818601802
-120,-140,-0.114543173070966
-120,-120,-0.112539636736581
-120,-100,-0.112070995755650
-120,-80,-0.112361714756926
-120,-60,-0.111890236105273
-120,-40,-0.109653992069708
-120,-20,-0.109236016192817
-120,0,-0.111468188715533
-120,20,-0.114019817089606
-120,40,-0.117198976067156
-120,60,-0.120927056135875
-120,80,-0.123961871914493
-120,100,-0.125403990132933
-120,120,-0.125751749848780
-120,140,-0.125428109562935
-120,160,-0.124255287466939
-120,180,-0.121640306597993
-100,-180,-0.120036420218664
-100,-160,-0.115563066776259
-100,-140,-0.111712842782783
-100,-120,-0.109579641879804
-100,-100,-0.109304422990222
-100,-80,-0.109991578719745
-100,-60,-0.110137712770032
-100,-40,-0.109995659599743
-100,-20,-0.111550709633755
-100,0,-0.113521994534359
-100,20,-0.115959908696894
-100,40,-0.119768410617264
-100,60,-0.124084964914871
-100,80,-0.126780716275228
-100,100,-0.127253766538613
-100,120,-0.126616763271960
-100,140,-0.125501352403429
-100,160,-0.123490382151304
-100,180,-0.120034301139605
-80,-180,-0.119241888371497
-80,-160,-0.113754237310995
-80,-140,-0.108870435411174
-80,-120,-0.106299095249094
-80,-100,-0.106567611099083
-80,-80,-0.108725726391749
-80,-60,-0.111390405710216
-80,-40,-0.113814039256722
-80,-20,-0.115652656135753
-80,0,-0.117151398756830
-80,20,-0.119851156037727
-80,40,-0.123702159496684
-80,60,-0.127229460943987
-80,80,-0.129487311902878
-80,100,-0.129538101240277
-80,120,-0.128131459591373
-80,140,-0.126227823334400
-80,160,-0.123517286509591
-80,180,-0.119242542202919
-60,-180,-0.116651309624065
-60,-160,-0.108967333551606
-60,-140,-0.101933714352095
-60,-120,-0.099454373093421
-60,-100,-0.102425726417562
-60,-80,-0.108440290777529
-60,-60,-0.114150572214527
-60,-40,-0.117599002371924
-60,-20,-0.118650891654059
-60,0,-0.119048948969715
-60,20,-0.120038896940976
-60,40,-0.121344076770712
-60,60,-0.123906959522729
-60,80,-0.126673305318165
-60,100,-0.127853254071516
-60,120,-0.127259325084877
-60,140,-0.125396281583713
-60,160,-0.122156473480638
-60,180,-0.116650033788370
-40,-180,-0.108603480188108
-40,-160,-0.097945943955667
-40,-140,-0.089875151406741
-40,-120,-0.092107966917421
-40,-100,-0.100587324074303
-40,-80,-0.108884288196738
-40,-60,-0.115137672474395
-40,-40,-0.117510284206925
-40,-20,-0.116420153292462
-40,0,-0.114909468733338
-40,20,-0.113212687842881
-40,40,-0.113568708854069
-40,60,-0.116505423465634
-40,80,-0.120188127142706
-40,100,-0.122505661325000
-40,120,-0.122673215426271
-40,140,-0.120585853531140
-40,160,-0.116280289254495
-40,180,-0.108598859790297
-20,-180,-0.095758080487909
