institution,lat,lon,count
Abdullah Gül University,38.737118,35.473534,1
Federal Institute Of São Paulo,-22.7276271,-47.6528703,1
University Of Peshawar,34.00859,71.4878186,1
Fluminense Federal University,35.0843187,-106.6197812,1
University Of Douala,4.0558562,9.7342639,1
University Of North Texas,33.207488,-97.1525862,1
University Of Pavia,45.186733,9.1558938,1
University Of Maryland Baltimore County,39.2556759,-76.7109674,1
CalTech,34.1376576,-118.125269,1
University Of North Carolina - Chapel Hill,35.9049122,-79.0469134,3
Georgia Institute Of Technology,33.7756178,-84.39628499999999,3
Aix-Marseille University,43.2922073,5.359122699999999,1
UC Berkeley,37.8718992,-122.2585399,1
Auburn University,32.5933574,-85.4951663,1
University Of Texas At Dallas,32.9857619,-96.7500993,1
Clemson University,34.6738437,-82.8368654,1
CICESE,31.8675086,-116.6652197,1
Universidade Federal Do Rio De Janeiro,-22.8625345,-43.2234737,3
"University Of California, San Diego",32.8800604,-117.2340135,1
University Of Utah,40.7649368,-111.8421021,2
Sabanci Üniversitesi,40.8924175,29.3768463,1
University Of Notre Dame,41.7055716,-86.2353388,2
University Of Southern California,34.0223519,-118.285117,1
William Paterson University,40.9473619,-74.1967319,2
Western Carolina University,35.3090108,-83.1863612,1
Leeds,53.8007554,-1.5490774,1
Uzh,47.3743221,8.550981199999999,1
University Of Kentucky,38.0306511,-84.5039697,4
Universidade Federal De Pernambuco,-8.0517328,-34.9507155,2
Colorado State University,40.57341479999999,-105.0865487,2
Lafayette College,40.6983134,-75.209746,1
Tribhuvan University,27.6806722,85.28346289999999,1
Shahjalal University Of Science And Technology,24.9172232,91.8319132,1
Syngenta,30.2434631,-91.0968864,1
Hacettepe University,39.8729919,32.7368592,1
Purdue University,40.4237054,-86.92119459999999,1
"California State University, Long Beach",33.7838235,-118.1140904,1
Universidade De São Paulo,-23.5613991,-46.7307891,1
University Of Innsbruck,47.26335419999999,11.3838006,1
University Of Florida,29.6436325,-82.3549302,1
Cornell University,42.4534492,-76.4735027,1
Aix-Marseille Université,43.5174943,5.448135,1
