institution,lat,lon,count
Washington university in St. Louis,38.6487895,-90.31079620000001,1
"Rutgers University, New Brunswick",40.5008186,-74.44739910000001,1
Federal Institute of São Paulo,-22.7276271,-47.6528703,1
University of North Texas,33.207488,-97.1525862,1
TCIS,33.45118850000001,-84.4812286,1
University of Pavia,45.186733,9.1558938,1
Cinvestav Merida,21.0218168,-89.6261303,1
Stony Brook university,40.914322,-73.1165224,1
Monash University Malaysia,3.0649648,101.6009742,1
Leeds,53.8007554,-1.5490774,1
University of Kentucky,38.0306511,-84.5039697,5
Colorado State University,40.57341479999999,-105.0865487,3
Shahjalal University of Science and Technology,24.9172232,91.8319132,1
Syngenta,30.2434631,-91.0968864,1
"California State University, Long Beach",33.7838235,-118.1140904,1
Purdue University,40.4237054,-86.92119459999999,1
RWTH Aachen,50.7800778,6.065686899999999,1
NISER,20.1702462,85.68359079999999,1
University of Florida,29.6436325,-82.3549302,7
R1,40.6564262,-111.9035176,1
Hacettepe University,39.8729919,32.7368592,1
Aix-Marseille Université,43.5174943,5.448135,1
Cinvestav,25.7621707,-100.1163787,3
Brown University,41.8267718,-71.4025482,1
University of southern Indiana,37.9582437,-87.67469380000001,1
Abdullah Gül University,38.737118,35.473534,1
University of Phayao,19.0284228,99.8962444,1
University of North Carolina - Chapel Hill,35.9049122,-79.0469134,3
Georgia Institute of Technology,33.7756178,-84.39628499999999,3
UC Berkeley,37.8718992,-122.2585399,1
UC San Diego,32.8800604,-117.2340135,2
University of Southern California,34.0223519,-118.285117,1
University of Pittsburgh,40.4443533,-79.960835,1
University of Zurich,47.3743221,8.550981199999999,2
Lafayette College,40.6983134,-75.209746,1
Tokyo Institute of Technology,35.6051229,139.6835302,1
UNAM,41.894154,-87.6377244,1
University of Innsbruck,47.26335419999999,11.3838006,1
Cal Poly SLO,35.3050053,-120.6624942,1
Institute of Physics La Plata - National University of La Plata,-34.91288180000001,-57.9511217,1
Harvard University,42.3770029,-71.11666009999999,1
Northwestern University,42.0564594,-87.67526699999999,1
Ladoke Akintola University of Technology,8.1705725,4.2651442,1
Ege University,38.4574615,27.2282167,1
Trinity College Dublin,53.3437935,-6.254571599999999,1
University of Douala,4.0558562,9.7342639,1
University of Maryland Baltimore County,39.2556759,-76.7109674,1
University of Tuebingen,48.5294782,9.043773999999999,1
University of Calgary,51.0775908,-114.140695,2
"College of Pharmacy, Gachon University",37.4507452,127.1288474,1
İzmir Biomedicine and Genome Center,38.3939086,27.0306084,1
University of Texas at Dallas,32.9857619,-96.7500993,1
Temple University,39.9805942,-75.1557376,1
Universidade Federal do Rio de Janeiro,-22.8625345,-43.2234737,4
UTFPR,-25.4391353,-49.26963199999999,1
University of Utah,40.7649368,-111.8421021,2
University of Rochester,43.1305531,-77.6260033,1
University of Notre Dame,41.7055716,-86.2353388,2
Technical University of Denmark,55.7855742,12.521381,1
Tribhuvan University,27.6806722,85.28346289999999,1
Sabanci üniversitesi,40.8924593,29.3775718,1
Ramkhamhaeng University,13.7499094,100.6195542,1
University of São Paulo,-23.5613991,-46.7307891,2
University of peshawar,34.00859,71.4878186,1
Caltech,34.1376576,-118.125269,1
Aix-Marseille University,43.2922073,5.359122699999999,1
Auburn University,32.5933574,-85.4951663,1
Clemson University,34.6738437,-82.8368654,1
CICESE,31.8675086,-116.6652197,1
University of Girona/IQCC,41.9857028,2.8272011,1
WILLIAM PATERSON UNIVERSITY,40.9473619,-74.1967319,2
Western Carolina University,35.3090108,-83.1863612,1
Universidade Federal de Pernambuco,-8.0517328,-34.9507155,2
Fluminense Federal University,42.2780436,-83.7382241,1
Univer,28.6417796,-106.075081,1
CSIR-CLRI,13.0083386,80.24362409999999,1
Cornell University,42.4534492,-76.4735027,1
